|   Day | Phase   | Status     | Pattern                 | Problem                                  | LeetCode #   | Difficulty   | Key Insight                       |
|------:|:--------|:-----------|:------------------------|:-----------------------------------------|:-------------|:-------------|:----------------------------------|
|     1 | PHASE 1 | ✅ Done     | Arrays / Two Pointers   | Two Sum                                  | 1            | Easy         | Hash map approach                 |
|     2 | PHASE 1 | ✅ Done     | Arrays / Two Pointers   | Best Time to Buy & Sell Stock            | 121          | Easy         | Track min price                   |
|     3 | PHASE 1 | ✅ Done     | Arrays / Two Pointers   | Contains Duplicate                       | 217          | Easy         | Hash set                          |
|     4 | PHASE 1 | ✅ Done     | Hashing / HashMaps      | Valid Anagram                            | 242          | Easy         | Char count                        |
|     5 | PHASE 1 | ✅ Done     | Hashing / HashMaps      | Group Anagrams                           | 49           | Medium       | Sorted key                        |
|     6 | PHASE 1 | ✅ Done     | Arrays / Two Pointers   | Product of Array Except Self             | 238          | Medium       | Prefix & suffix                   |
|     7 | PHASE 1 | ✅ Done     | Arrays / Two Pointers   | Maximum Subarray                         | 53           | Medium       | Kadane's algo                     |
|     8 | PHASE 1 | ✅ Done     | Hashing / HashMaps      | Top K Frequent Elements                  | 347          | Medium       | Bucket sort                       |
|     9 | PHASE 1 | ✅ Done     | Arrays / Two Pointers   | 3Sum                                     | 15           | Medium       | Sort + two ptr                    |
|    10 | PHASE 1 | ✅ Done     | Arrays / Two Pointers   | Container With Most Water                | 11           | Medium       | Two pointer                       |
|    11 | PHASE 1 | ✅ Done     | Arrays + Hashing        | REVISION: Arrays & Hashing               | —            | -            | Re-do 2-3 hardest from Days 1-10  |
|    12 | PHASE 1 | ✅ Done     | Sliding Window          | Best Time to Buy & Sell Stock            | 121          | Easy         | Sliding window view               |
|    13 | PHASE 1 | ⬜ Todo     | Sliding Window          | Longest Substring Without Repeat         | 3            | Medium       | Classic sliding window            |
|    14 | PHASE 1 | ⬜ Todo     | Sliding Window          | Longest Repeating Char Replacement       | 424          | Medium       | Max freq trick                    |
|    15 | PHASE 1 | ⬜ Todo     | Sliding Window          | Permutation in String                    | 567          | Medium       | Fixed window                      |
|    16 | PHASE 1 | ⬜ Todo     | Sliding Window          | Minimum Window Substring                 | 76           | Hard         | Variable window                   |
|    17 | PHASE 1 | ⬜ Todo     | Sliding Window          | Sliding Window Maximum                   | 239          | Hard         | Deque approach                    |
|    18 | PHASE 1 | ⬜ Todo     | Binary Search           | Binary Search                            | 704          | Easy         | Basic template                    |
|    19 | PHASE 1 | ⬜ Todo     | Binary Search           | Search a 2D Matrix                       | 74           | Medium       | Flatten index                     |
|    20 | PHASE 1 | ⬜ Todo     | Binary Search           | Koko Eating Bananas                      | 875          | Medium       | Binary search on answer           |
|    21 | PHASE 1 | ⬜ Todo     | Binary Search           | Find Min in Rotated Sorted Array         | 153          | Medium       | Modified BS                       |
|    22 | PHASE 1 | ⬜ Todo     | Binary Search           | Search in Rotated Sorted Array           | 33           | Medium       | Two halves                        |
|    23 | PHASE 1 | ⬜ Todo     | Binary Search           | Time Based Key-Value Store               | 981          | Medium       | BS on values                      |
|    24 | PHASE 1 | ⬜ Todo     | Binary Search           | Median of Two Sorted Arrays              | 4            | Hard         | Partition approach                |
|    25 | PHASE 1 | 📝 Revision | Sliding Window + BS     | REVISION: Sliding Window & Binary Search | —            | -            | Re-solve 2-3 problems             |
|    26 | PHASE 1 | ⬜ Todo     | Linked Lists            | Reverse Linked List                      | 206          | Easy         | Iterative & recursive             |
|    27 | PHASE 1 | ⬜ Todo     | Linked Lists            | Merge Two Sorted Lists                   | 21           | Easy         | Dummy node trick                  |
|    28 | PHASE 1 | ⬜ Todo     | Linked Lists            | Linked List Cycle                        | 141          | Easy         | Floyd's algo                      |
|    29 | PHASE 1 | ⬜ Todo     | Linked Lists            | Reorder List                             | 143          | Medium       | Find mid + reverse                |
|    30 | PHASE 1 | ⬜ Todo     | Linked Lists            | Remove Nth Node From End                 | 19           | Medium       | Two pointer gap                   |
|    31 | PHASE 2 | ⬜ Todo     | Linked Lists            | Copy List with Random Pointer            | 138          | Medium       | Hash map clone                    |
|    32 | PHASE 2 | ⬜ Todo     | Linked Lists            | Add Two Numbers                          | 2            | Medium       | Carry logic                       |
|    33 | PHASE 2 | ⬜ Todo     | Linked Lists            | Find Duplicate Number                    | 287          | Medium       | Floyd's cycle                     |
|    34 | PHASE 2 | ⬜ Todo     | Linked Lists            | LRU Cache                                | 146          | Medium       | DLL + hashmap                     |
|    35 | PHASE 2 | 📝 Revision | Linked Lists            | REVISION: Linked Lists                   | —            | -            | Trace through all patterns        |
|    36 | PHASE 2 | ⬜ Todo     | Stacks & Queues         | Valid Parentheses                        | 20           | Easy         | Stack basics                      |
|    37 | PHASE 2 | ⬜ Todo     | Stacks & Queues         | Min Stack                                | 155          | Medium       | Aux stack                         |
|    38 | PHASE 2 | ⬜ Todo     | Stacks & Queues         | Evaluate Reverse Polish Notation         | 150          | Medium       | Stack math                        |
|    39 | PHASE 2 | ⬜ Todo     | Stacks & Queues         | Generate Parentheses                     | 22           | Medium       | Backtrack/stack                   |
|    40 | PHASE 2 | ⬜ Todo     | Stacks & Queues         | Daily Temperatures                       | 739          | Medium       | Monotonic stack                   |
|    41 | PHASE 2 | ⬜ Todo     | Stacks & Queues         | Car Fleet                                | 853          | Medium       | Monotonic stack                   |
|    42 | PHASE 2 | ⬜ Todo     | Stacks & Queues         | Largest Rectangle in Histogram           | 84           | Hard         | Mono stack classic                |
|    43 | PHASE 2 | 📝 Revision | Stacks & Queues         | REVISION: Stacks & Queues                | —            | -            | Focus on monotonic stack          |
